Std;E
146.20653413838636;-94.53945394539454
146.17585879117806;-94.51945194519452
146.14518344403433;-94.4994499449945
146.11450809695413;-94.47944794479449
146.08383274993915;-94.45944594459446
146.05315740298715;-94.43944394439444
146.02248205610044;-94.41944194419442
145.99180670927782;-94.3994399439944
145.96113136251915;-94.37943794379439
145.93045601582526;-94.35943594359436
145.8997806691957;-94.33943394339434
145.8691053226305;-94.31943194319432
145.8384299761297;-94.2994299429943
145.80775462969441;-94.27942794279429
145.77707928332305;-94.25942594259426
145.74640393701588;-94.23942394239424
145.7157285907737;-94.21942194219422
145.6850532445962;-94.1994199419942
145.6543778984837;-94.17941794179418
145.62370255243584;-94.15941594159416
145.59302720645312;-94.13941394139414
145.5623518605351;-94.11941194119412
145.53167651468195;-94.0994099409941
145.50100116889402;-94.07940794079408
145.47032582317084;-94.05940594059406
145.43965047751314;-94.03940394039404
145.4089751319201;-94.01940194019402
145.37829978639226;-93.99939993999399
145.3476244409295;-93.97939793979398
145.31694909553246;-93.95939593959396
145.28627375020056;-93.93939393939394
145.25559840493392;-93.91939193919391
145.22492305973233;-93.89938993899389
145.1942477145964;-93.87938793879388
145.1635723695256;-93.85938593859386
145.13289702452042;-93.83938393839384
145.10222167958125;-93.81938193819381
145.07154633470694;-93.7993799379938
145.04087098989888;-93.77937793779378
145.01019564515576;-93.75937593759376
144.97952030047895;-93.73937393739374
144.948844955867;-93.71937193719371
144.91816961132213;-93.6993699369937
144.8874942668422;-93.67936793679368
144.856818922428;-93.65936593659366
144.82614357808;-93.63936393639364
144.79546823379798;-93.61936193619361
144.7647928895811;-93.5993599359936
144.73411754543133;-93.57935793579358
144.7034422013473;-93.55935593559356
144.6727668573296;-93.53935393539354
144.64209151337707;-93.51935193519353
144.61141616949175;-93.4993499349935
144.58074082567245;-93.47934793479348
144.55006548191935;-93.45934593459346
144.51939013823235;-93.43934393439343
144.48871479461172;-93.41934193419343
144.45803945105766;-93.3993399339934
144.42736410757;-93.37933793379338
144.39668876414896;-93.35933593359336
144.3660134207941;-93.33933393339333
144.33533807750638;-93.31933193319333
144.30466273428442;-93.2993299329933
144.27398739112968;-93.27932793279328
144.2433120480414;-93.25932593259326
144.21263670502026;-93.23932393239323
144.18196136206592;-93.21932193219322
144.15128601917777;-93.1993199319932
144.12061067635662;-93.17931793179318
144.0899353336024;-93.15931593159316
144.0592599909159;-93.13931393139313
144.0285846482957;-93.11931193119312
143.99790930574258;-93.0993099309931
143.9672339632565;-93.07930793079308
143.9365586208371;-93.05930593059306
143.90588327848525;-93.03930393039303
143.87520793620115;-93.01930193019302
143.84453259398384;-92.999299929993
143.81385725183375;-92.97929792979298
143.78318190975125;-92.95929592959295
143.752506567736;-92.93929392939293
143.72183122578826;-92.91929192919292
143.69115588390812;-92.8992899289929
143.66048054209494;-92.87928792879288
